2024-07-14 02:42:59 | | READY_FOR_LIFTOFF | Lat,Long=-31.98822,115.81029 | B_Alt=-0.13 | B_Pres=1014.32 | B_Temp=21.74 | A_Vel=0.00 | B_Vel=-3.89 | F_Vel=0.00 | Cont_A,M=0,0 | accel=762,616,-1004 |
2024-07-14 02:43:00 | | READY_FOR_LIFTOFF | Lat,Long=-31.98822,115.81029 | B_Alt=-0.33 | B_Pres=1014.28 | B_Temp=21.72 | A_Vel=0.00 | B_Vel=-0.89 | F_Vel=0.00 | Cont_A,M=0,0 | accel=761,620,-1004 |
2024-07-14 02:43:01 | | READY_FOR_LIFTOFF | Lat,Long=-31.98822,115.81029 | B_Alt=-0.01 | B_Pres=1014.32 | B_Temp=21.75 | A_Vel=0.00 | B_Vel=0.06 | F_Vel=0.00 | Cont_A,M=0,0 | accel=763,619,-1004 |
2024-07-14 02:43:02 | | READY_FOR_LIFTOFF | Lat,Long=-31.98822,115.81029 | B_Alt=0.21 | B_Pres=1014.31 | B_Temp=21.74 | A_Vel=0.00 | B_Vel=0.80 | F_Vel=0.00 | Cont_A,M=0,0 | accel=761,614,-1003 |
2024-07-14 02:43:03 | | READY_FOR_LIFTOFF | Lat,Long=-31.98822,115.81029 | B_Alt=-0.19 | B_Pres=1014.31 | B_Temp=21.78 | A_Vel=0.00 | B_Vel=0.21 | F_Vel=0.00 | Cont_A,M=0,0 | accel=768,619,-1004 |
2024-07-14 02:43:04 | | READY_FOR_LIFTOFF | Lat,Long=-31.98822,115.81029 | B_Alt=0.09 | B_Pres=1014.28 | B_Temp=21.81 | A_Vel=0.00 | B_Vel=-0.89 | F_Vel=0.00 | Cont_A,M=0,0 | accel=766,620,-1005 |
2024-07-14 02:43:05 | | READY_FOR_LIFTOFF | Lat,Long=-31.98822,115.81029 | B_Alt=0.02 | B_Pres=1014.30 | B_Temp=21.86 | A_Vel=0.00 | B_Vel=-0.37 | F_Vel=0.00 | Cont_A,M=0,0 | accel=764,619,-1004 |
2024-07-14 02:43:06 | | READY_FOR_LIFTOFF | Lat,Long=-31.98822,115.81029 | B_Alt=-0.22 | B_Pres=1014.30 | B_Temp=21.89 | A_Vel=0.00 | B_Vel=1.57 | F_Vel=0.00 | Cont_A,M=0,0 | accel=757,618,-1005 |
2024-07-14 02:43:07 | | READY_FOR_LIFTOFF | Lat,Long=-31.98822,115.81029 | B_Alt=0.00 | B_Pres=1014.27 | B_Temp=21.94 | A_Vel=0.00 | B_Vel=-0.72 | F_Vel=0.00 | Cont_A,M=0,0 | accel=761,615,-1003 |
2024-07-14 02:43:08 | | READY_FOR_LIFTOFF | Lat,Long=-31.98822,115.81029 | B_Alt=0.14 | B_Pres=1014.28 | B_Temp=21.97 | A_Vel=0.00 | B_Vel=-0.42 | F_Vel=0.00 | Cont_A,M=0,0 | accel=765,617,-1005 |
2024-07-14 02:43:09 | | READY_FOR_LIFTOFF | Lat,Long=-31.98822,115.81029 | B_Alt=-0.19 | B_Pres=1014.34 | B_Temp=21.97 | A_Vel=0.00 | B_Vel=3.29 | F_Vel=0.00 | Cont_A,M=0,0 | accel=763,622,-1008 |
2024-07-14 02:43:10 | | READY_FOR_LIFTOFF | Lat,Long=-31.98822,115.81029 | B_Alt=-0.11 | B_Pres=1014.26 | B_Temp=21.99 | A_Vel=0.00 | B_Vel=-0.43 | F_Vel=0.00 | Cont_A,M=0,0 | accel=748,626,-1008 |
2024-07-14 02:43:11 | | READY_FOR_LIFTOFF | Lat,Long=-31.98822,115.81029 | B_Alt=-0.32 | B_Pres=1014.33 | B_Temp=22.04 | A_Vel=0.00 | B_Vel=0.73 | F_Vel=0.00 | Cont_A,M=0,0 | accel=762,625,-1008 |
2024-07-14 02:43:12 | | READY_FOR_LIFTOFF | Lat,Long=-31.98822,115.81029 | B_Alt=0.05 | B_Pres=1014.32 | B_Temp=22.06 | A_Vel=0.00 | B_Vel=-0.49 | F_Vel=0.00 | Cont_A,M=0,0 | accel=765,621,-1005 |
2024-07-14 02:43:13 | | READY_FOR_LIFTOFF | Lat,Long=-31.98822,115.81029 | B_Alt=-0.24 | B_Pres=1014.31 | B_Temp=22.07 | A_Vel=0.00 | B_Vel=0.20 | F_Vel=0.00 | Cont_A,M=0,0 | accel=763,617,-1004 |
2024-07-14 02:43:14 | | READY_FOR_LIFTOFF | Lat,Long=-31.98822,115.81029 | B_Alt=-0.06 | B_Pres=1014.31 | B_Temp=22.10 | A_Vel=0.00 | B_Vel=0.86 | F_Vel=0.00 | Cont_A,M=0,0 | accel=761,616,-1005 |
2024-07-14 02:43:15 | | READY_FOR_LIFTOFF | Lat,Long=-31.98822,115.81029 | B_Alt=0.30 | B_Pres=1014.25 | B_Temp=22.13 | A_Vel=0.00 | B_Vel=-1.47 | F_Vel=0.00 | Cont_A,M=0,0 | accel=766,618,-1005 |
2024-07-14 02:43:16 | | READY_FOR_LIFTOFF | Lat,Long=-31.98822,115.81029 | B_Alt=-0.01 | B_Pres=1014.30 | B_Temp=22.13 | A_Vel=0.00 | B_Vel=1.25 | F_Vel=0.00 | Cont_A,M=0,0 | accel=762,616,-1002 |
2024-07-14 02:43:17 | | READY_FOR_LIFTOFF | Lat,Long=-31.98822,115.81029 | B_Alt=-0.26 | B_Pres=1014.33 | B_Temp=22.18 | A_Vel=0.00 | B_Vel=-0.90 | F_Vel=0.00 | Cont_A,M=0,0 | accel=764,616,-1007 |
2024-07-14 02:43:18 | | READY_FOR_LIFTOFF | Lat,Long=-31.98822,115.81029 | B_Alt=0.09 | B_Pres=1014.28 | B_Temp=22.20 | A_Vel=0.00 | B_Vel=-2.59 | F_Vel=0.00 | Cont_A,M=0,0 | accel=764,619,-1004 |
